id	company	title	dates	description
cindyhall	Bolster	Co-founder	2020|	New startup to connect on-demand executives with startups and scaleups.
cindyhall	Acme Widgets	Chief People Officer	2019|2020	Fractional and advisory Chief People Officer 
cindyhall	Sonantic, Inc.	Chief People Officer	2008|2019	Led HR for Sonantic's global business organization across 35 Countries in Europe, Middle East, and Africa. Directly supported Sonantic's President of EMEA, setting and delivering a People strategy for the region.
samnewton	Bolster	Co-founder / CTO	2020|	New startup to connect on-demand executives with startups and scaleups.
samnewton	Acme Widgets	Chief Technology Officer	2016|2019	Led Acme's Product and Engineering group, a 100-person organization including SVP Product, VP Engineering, 7 directors, and 7 managers, responsible for over 30 products. Scaled Acme's over 9-year tenure to 3X in revenue, growing the product development org from 20 to 100 people, acquiring 5 businesses and divesting of 2 business units
noahbraxton	Bolster	Co-founder	2020|	Co-founder responsible for Go-To-Market (Marketing and Customer Success).
noahbraxton	Glasgabib	VP Marketing	2019|2020	As head of marketing, I was responsible for brand, creative, demand generation, digital, events, marketing operations, customer and partner marketing, public relations and sales development.
noahbraxton	Wonders	SVP Marketing	2018|2019	As head of marketing, I was responsible for global brand, creative, demand generation, digital, events, marketing operations, customer and partner marketing, public relations and sales development.
noahbraxton	Wonders	VP Marketing	2017|2018	Leadership of Global Sales Development, Field Marketing, Corporate Events, Customer Marketing, Channel Marketing and International Marketing. Team is responsible for retaining, generating and accelerating global sales pipeline through inbound and outbound prospecting, field and corporate events, customer and partner marketing, and international marketing programs.
noahbraxton	Wonders	Senior Director, Global Marketing	2015|2017	Leadership of Global Sales Development, Field Marketing, Corporate Events, and Regional Marketing teams. Team is responsible for generating and accelerating global sales pipeline through inbound and outbound prospecting, field and corporate events, and worldwide marketing efforts.
noahbraxton	Strunchie	Senior Manager, Central/Canada Region Marketing	2013|2014	Responsible for our Regional Marketing efforts in the Central Region of the United States and Canada. Managed team of Lead Generation, Field Marketing and Alliance Managers focused on sourcing, influencing, and accelerating pipeline across new and existing business for all product lines.
noahbraxton	Strunchie	Senior Manager, North America Field Marketing	2012|2012	Direct management of strategy development and execution for North American Field Marketing team.\nTeam offered support for both the field and corporate sales reps through strategic deal support, customized campaigns, and in-market events.
noahbraxton	Strunchie	Strategic Field Marketing Manager, Central	2011|2012	Provided a collaborative bridge between the marketing and Central region sales team. Offered strategic support for both the field and corporate sales reps and provided custom marketing materials throughout various steps in their sales cycle. Planned and executed local field marketing events throughout the Central region.
noahbraxton	Epilog	Account Executive	2008|2011	Responsible for the account management and business development of all telecommunications activities for customer base. Responsible for retention of existing business to business sales portfolio, as well as new sales revenue. Sold and supported all Epilog product lines including local and long distance voice, data, internet protocol, customer premise equipment, teleconferencing services, and mobility.
noahbraxton	Sweet Home	CRM Associate	2007|2008	Ensured that front line sales staff, sales management, and technology/support resources were able to increase effectiveness and efficiency through utilization of CRM Sales Force Automation. Provided expert guidance to sales staff that utilized the SFA tool, as well as members of Information Technology responsible for development. Analyzed, recommended solutions, designed, tested, implemented and trained new application software. Developed individual sales and sales management reports and analysis. Led initiative to implement marketing application for corporate marketing across organization.
noahbraxton	Sweet Home	Customer Sales and Services Analyst	2004|2007	Assisted in the development and modification of customer profiles and unit procedures for Sweet Home products and services, process flow, and quality control mechanisms. Analyzed and troubleshot problems that customers encountered. Resolved issues through interaction with appropriate Customer Sales and Services staff, business units, and clients. Coordinated the successful implementation of products and services for approximately 6,000 schools upgrading to the OpenNet graphical user interface.
michaelboyd	Bolster	Founder, Chairman & CEO	2020|	Co-Founder and CEO of Bolster, an on-demand executive talent marketplace that helps accelerate companies growth by connecting them with experienced, highly vetted executives for interim, fractional, advisory, project-based or board roles. Bolster also provides on-demand executives with software and services to help them manage their careers as independent consultants and provides startup and scaleup CEOs with software and content to help them assess, benchmark and diversify their leadership teams and boards.
michaelboyd	Acme Widgets	Founder, Chairman & CEO	1999|2019	Co-Founder and CEO of Acme Widgets, the market leader in email optimization, helping thousands of businesses use the email channel more effectively to promote and protect their brands.  Under Matt's leadership, Acme Widgets scaled from startup to over $100mm in revenue and profitable with 500 employees in 12 offices around the world and had a successful exit, acquired by Validity in 2019.  The company won numerous employer of choice awards including #2 on Fortune Magazine’s “Best Companies to Work for” list.  Acme Widgets's investors included Union Square Ventures, Foundry Group, Costanoa Venture Capital, and Sapphire Venture Capital (formerly SAP Ventures).
dandutch	Boaz	Security and Data Protection Advisor	2019|	Boaz was founded with an overarching vision: to establish financial identities for the billions of people worldwide who are creditworthy, yet financially excluded. In partnership with mobile network operators, Boaz’s proprietary Identity Scoring technology uses data science, machine learning and game mechanics to create an identity-based relationship with anonymous prepaid users, opening up access to otherwise unattainable mobile financial services.\n\nBoaz is a privately held company backed by global business leaders and luminaries in the world of tech, mobile and finance. Its executive team comprises accomplished industry leaders across the data science, consumer internet, financial services and mobile telecom fields.
